Ticker,Company Name,Sector,exchange
ACAP,A Capital Holding,Real Estate,EGX
AMER,Amer Group Holding,Real Estate,EGX
ACAMID,Arab Co. for Asset Management And Development,Real Estate,EGX
ARAB,Arab Developers Holding,Real Estate,EGX
RREI,Arab Real Estate Investment CO.-ALICO,Real Estate,EGX
AIFI,Atlas For Investment and Food Industries,Real Estate,EGX
DAPH,Development & Engineering Consultants,Real Estate,EGX
MAAL,Egyptian Gulf Marseilia For Real Estate Investment,Real Estate,EGX
AREH,Egyptian Real Estate Group,Real Estate,EGX
EHDR,Egyptians Housing Development & Reconstruction,Real Estate,EGX
ELKH,El Kahera Housing,Real Estate,EGX
OBRI,El Obour Real Estate Investment,Real Estate,EGX
ELSH,El Shams Housing & Urbanization,Real Estate,EGX
UEGC,Elsaeed Contracting& Real Estate Investment Company SCCD,Real Estate,EGX
EMFD,Emaar Misr for Development,Real Estate,EGX
GIHD,Gharbia Islamic Housing Development,Real Estate,EGX
CCRS,Gulf Canadian Real Estate Investment Co.,Real Estate,EGX
HELI,Heliopolis Housing,Real Estate,EGX
ICID,International Co For Investment & Development,Real Estate,EGX
IDRE,Ismailia Development and Real Estate Co,Real Estate,EGX
MASR,Madinet Masr For Housing and Development,Real Estate,EGX
MENA,Mena Touristic & Real Estate Investment,Real Estate,EGX
PALM,Palm Hills Development Company,Real Estate,EGX
PRDC,Pioneers Properties For Urban Development(PREDCO),Real Estate,EGX
REAC,Reacap Financial Investments,Real Estate,EGX
OCDI,Six of October Development & Investment (SODIC),Real Estate,EGX
TMGH,T M G Holding,Real Estate,EGX
TANM,Tanmiya for Real Estate Investment,Real Estate,EGX
UNIT,United Housing & Development,Real Estate,EGX
ZMID,Zahraa Maadi Investment & Development,Real Estate,EGX
TRTO,TransOceans Tours,Real Estate,EGX
EIUD,Egyptians For Investment & Urban Development,Real Estate,EGX
EALR,El Arabia for Land Reclamation,Real Estate,EGX
AALR,"General Company For Land Reclamation,Development & Reconstru",Real Estate,EGX
GGCC,Giza General Contracting,Real Estate,EGX
WKOL,Wadi Kom Ombo Land Reclamation,Real Estate,EGX
EGREF,Egyptians Real Estate Fund Certificates,Real Estate,EGX
NHPS,National Housing for Professional Syndicates,Toursim,EGX
EGTS,Egyptian for Tourism Resorts,Toursim,EGX
ELWA,El Wadi For International and Investement Development,Toursim,EGX
GOCO,Golden Coast Company,Toursim,EGX
GPPL,Golden Pyramids Plaza,Toursim,EGX
MMAT,Marsa Marsa Alam For Tourism Development,Toursim,EGX
MHOT,Misr Hotels,Toursim,EGX
PHTV,Pyramisa Hotels,Toursim,EGX
RTVC,Remco for Touristic Villages Construction,Toursim,EGX
SDTI ,Sharm Dreams Co. for Tourism Investment,Toursim,EGX
ADIB,Abu Dhabi Islamic Bank- Egypt,Banks,EGX
SAUD,Al Baraka Bank Egypt,Banks,EGX
COMI,Commercial International Bank-Egypt (CIB),Banks,EGX
CIEB,Credit Agricole Egypt,Banks,EGX
EGBE,Egyptian Gulf Bank,Banks,EGX
EXPA,Export Development Bank of Egypt,Banks,EGX
FAIT,Faisal Islamic Bank of Egypt - In EGP,Banks,EGX
FAITA,Faisal Islamic Bank of Egypt - In US Dollars,Banks,EGX
HDBK,Housing & Development Bank,Banks,EGX
QNBE,Qatar National Bank,Banks,EGX
SAIB,Societe Arabe Internationale De Banque S.A.E.,Banks,EGX
CANA,Suez Canal Bank S.A.E,Banks,EGX
UNBE,The United Bank,Banks,EGX
ABUK,Abou Kir Fertilizers,Petro chemicals & fertilizers,EGX
EFIC,Egyptian Financial & Industrial,Petro chemicals & fertilizers,EGX
EGCH,Egyptian Chemical Industries (Kima),Petro chemicals & fertilizers,EGX
KZPC,Kafr El Zayat Pesticides,Petro chemicals & fertilizers,EGX
MFPC,Misr Fertilizers Production Company - Mopco,Petro chemicals & fertilizers,EGX
MICH,Misr Chemical Industries,Petro chemicals & fertilizers,EGX
SKPC,Sidi Kerir Petrochemicals - SIDPEC,Petro chemicals & fertilizers,EGX
SMFR,Samad Misr -EGYFERT,Petro chemicals & fertilizers,EGX
AMOC,Alexandria Mineral Oils Company,Petro chemicals & fertilizers,EGX
MOIL,Maridive & oil services,Petro chemicals & fertilizers,EGX
EGAS,Natural Gas & Mining Project (Egypt Gas),Petro chemicals & fertilizers,EGX
TAQA,Taqa Arabia,Petro chemicals & fertilizers,EGX
ICFC,International Company For Fertilizers & Chemicals,Petro chemicals & fertilizers,EGX
IFAP,International Agricultural Products,Petro chemicals & fertilizers,EGX
DTPP,Delta For Printing & Packaging,"Industrial Goods , Services and Automobiles",EGX
SWDY,ELSWEDY ELECTRIC,"Industrial Goods , Services and Automobiles",EGX
EEII,El Arabia Engineering Industries,"Industrial Goods , Services and Automobiles",EGX
ELEC,Electro Cable Egypt,"Industrial Goods , Services and Automobiles",EGX
GBCO,GB Corp,"Industrial Goods , Services and Automobiles",EGX
GDWA,Gadwa For Industrial Development,"Industrial Goods , Services and Automobiles",EGX
MBEG,M.B Engineering,"Industrial Goods , Services and Automobiles",EGX
BIGP,Barbary Investment Group,"Industrial Goods , Services and Automobiles",EGX
MTIE,MM Group For Industry And International Trade,"Industrial Goods , Services and Automobiles",EGX
EPPK,El Ahram Co. For Printing And Packing,"Industrial Goods , Services and Automobiles",EGX
MEGM,Middle East Glass Manufacturing,"Industrial Goods , Services and Automobiles",EGX
RAKT,Rakta Paper Manufacturing,"Industrial Goods , Services and Automobiles",EGX
UNIP,Universal For Paper and Packaging Materials (Unipack,"Industrial Goods , Services and Automobiles",EGX
AJWA,AJWA for Food Industries company Egypt,"Food, Beverages and Tobacco",EGX
KRDI,Al Khair River For Development Agricultural Investment&Envir,"Food, Beverages and Tobacco",EGX
AFMC,Alexandria Flour Mills,"Food, Beverages and Tobacco",EGX
DOMT,Arabian Food Industries DOMTY,"Food, Beverages and Tobacco",EGX
COSG,Cairo Oils & Soap,"Food, Beverages and Tobacco",EGX
POUL,Cairo Poultry,"Food, Beverages and Tobacco",EGX
SUGR,Delta Sugar,"Food, Beverages and Tobacco",EGX
EDFM,East Delta Flour Mills,"Food, Beverages and Tobacco",EGX
EAST,Eastern Company,"Food, Beverages and Tobacco",EGX
EFID,Edita Food Industries S.A.E,"Food, Beverages and Tobacco",EGX
EPCO,Egypt for Poultry,"Food, Beverages and Tobacco",EGX
ELNA,El Nasr For Manufacturing Agricultural Crops,"Food, Beverages and Tobacco",EGX
ZEOT,Extracted Oils,"Food, Beverages and Tobacco",EGX
GSSC,General Silos & Storage,"Food, Beverages and Tobacco",EGX
GGRM,Gogreen for Agricultural Investment,"Food, Beverages and Tobacco",EGX
ISMA,Ismailia Misr Poultry,"Food, Beverages and Tobacco",EGX
INFI,Ismailia National Food Industries,"Food, Beverages and Tobacco",EGX
JUFO,Juhayna Food Industries,"Food, Beverages and Tobacco",EGX
LUTS,Lotus For Agricultural Investments And Development,"Food, Beverages and Tobacco",EGX
MPCO,Mansourah Poultry,"Food, Beverages and Tobacco",EGX
WCDF,Middle & West Delta Flour Mills,"Food, Beverages and Tobacco",EGX
CEFM,Middle Egypt Flour Mills,"Food, Beverages and Tobacco",EGX
MOSC,Misr Oils & Soap,"Food, Beverages and Tobacco",EGX
MILS,North Cairo Mills,"Food, Beverages and Tobacco",EGX
NEDA,Northern Upper Egypt Development & Agricultural Production,"Food, Beverages and Tobacco",EGX
OLFI,Obour Land For Food Industries,"Food, Beverages and Tobacco",EGX
SNFC,Sharkia National Food,"Food, Beverages and Tobacco",EGX
SCFM,South Cairo & Giza Mills & Bakeries,"Food, Beverages and Tobacco",EGX
ADPC,The Arab Dairy Products Co. Arab Dairy - Panda,"Food, Beverages and Tobacco",EGX
UEFM,Upper Egypt Flour Mills,"Food, Beverages and Tobacco",EGX
GMCI,GMC,"Food, Beverages and Tobacco",EGX
OIH,Orascom Investment Holding,Non-bank financial services,EGX
FWRY,Fawry For Banking Technology And Electronic Payment,Non-bank financial services,EGX
EFIH,E-finance For Digital and Financial Investments,Non-bank financial services,EGX
RKAZ,REKAZ Financial Holding,Non-bank financial services,EGX
ACTF,Act Financial,Non-bank financial services,EGX
ANFI,Alexandria National Company for Financial Investment,Non-bank financial services,EGX
ATLC,Al Tawfeek Leasing Company-A.T.LEASE,Non-bank financial services,EGX
AMIA,Arab Moltaka Investments Co,Non-bank financial services,EGX
AIH,Arabia Investments Holding,Non-bank financial services,EGX
ASPI,Aspire Capital Holding For Financial Investments,Non-bank financial services,EGX
BINV,B Investments Holding,Non-bank financial services,EGX
BTFH,Beltone Holding,Non-bank financial services,EGX
CICH,CI Capital Holding For Financial Investments,Non-bank financial services,EGX
CNFN,Contact Financial Holding,Non-bank financial services,EGX
HRHO,EFG Holding,Non-bank financial services,EGX
EGX30ETF,EGX 30 INDEX ETF,Non-bank financial services,EGX
EASB,Egyptian Arabian(Themar)Comp. For Securities&Bonds Brok. EAC,Non-bank financial services,EGX
EKHOA,Egyptian Kuwaiti Holding,Non-bank financial services,EGX
EKHO,Egyptian Kuwaiti Holding-EGP,Non-bank financial services,EGX
AFDI,El Ahli Investment and Development,Non-bank financial services,EGX
KWIN,El Kahera El Watania Investment,Non-bank financial services,EGX
EOSB,El Orouba Securities Brokerage,Non-bank financial services,EGX
GRCA ,Grand Investment Capital,Non-bank financial services,EGX
MOIN,Mohandes Insurance,Non-bank financial services,EGX
NAHO,Naeem Holding,Non-bank financial services,EGX
ODIN,ODIN Investments,Non-bank financial services,EGX
OFH,Orascom Financial Holding,Non-bank financial services,EGX
EBSC,Osool ESB Securities Brokerage,Non-bank financial services,EGX
PRMH,Prime Holding,Non-bank financial services,EGX
CCAP,QALA For Financial Investments,Non-bank financial services,EGX
RAYA,Raya Holding For Financial Investments,Non-bank financial services,EGX
SEIG,Saudi Egyptian Investment & Finance,Non-bank financial services,EGX
SEIGA,Saudi Egyptian Investment & Finance $,Non-bank financial services,EGX
CRST,Creast Mark For Contracting And Real Estate Development,Trade & Shipping & Transportation Services,EGX
MFSC,Misr Duty Free Shops,Trade & Shipping & Transportation Services,EGX
ALCN,Alex Cont,Trade & Shipping & Transportation Services,EGX
CSAG,Canal Shipping Agencies,Trade & Shipping & Transportation Services,EGX
ETRS,Egytrans,Trade & Shipping & Transportation Services,EGX
UASG,United Arab Stevedoring,Trade & Shipping & Transportation Services,EGX
ALUM ,Arab Aluminum,Building Materials,EGX
ASCM,Asek Company for Mining,Building Materials,EGX
ATQA,Misr National Steel - Ataqa,Building Materials,EGX
EGAL,Egypt Aluminum,Building Materials,EGX
ISMQ,Iron And Steel for Mines and Quarries,Building Materials,EGX
ARVA,Arab Valves Company,Building Materials,EGX
ARCC,Arabian Cement Company,Building Materials,EGX
PRCL,Ceramic & Porcelain,Building Materials,EGX
ECAP,El Ezz Porcelain (Gemma),Building Materials,EGX
LCSW,Lecico Egypt,Building Materials,EGX
MBSC,Misr Beni Suef Cement,Building Materials,EGX
MCQE,Misr Cement (Qena),Building Materials,EGX
RUBX,Rubex International for Plastic and Acrylic Manufacturing,Building Materials,EGX
SCEM,Sinai Cement,Building Materials,EGX
SVCE,South Valley Cement,Building Materials,EGX
CERA,The Arab Ceramic CO.- Ceramica Remas,Building Materials,EGX
ACRW,Acrow Misr,Building Materials,EGX
ENGC,Engineering Industries (ICON),Building Materials,EGX
IEEC,Industrial & Engineering Projects,Building Materials,EGX
NCCW,Nasr Company for Civil Works,Building Materials,EGX
ORAS,Orascom Construction PLC,Building Materials,EGX
AMES,Alexandria New Medical Center,Health Care & Pharmaceuticals,EGX
AXPH,Alexandria Pharmaceuticals,Health Care & Pharmaceuticals,EGX
ADCO,Arab Pharmaceuticals,Health Care & Pharmaceuticals,EGX
CPCI,Cairo Pharmaceuticals,Health Care & Pharmaceuticals,EGX
CLHO,Cleopatra Hospital Company,Health Care & Pharmaceuticals,EGX
PHAR,Egyptian International Pharmaceuticals (EIPICO),Health Care & Pharmaceuticals,EGX
NIPH,El-Nile Co. For Pharmaceuticals And Chemical Industries,Health Care & Pharmaceuticals,EGX
BIOC,Glaxo Smith Kline,Health Care & Pharmaceuticals,EGX
ISPH,Ibnsina Pharma,Health Care & Pharmaceuticals,EGX
MCRO,Macro Group Pharmaceuticals -Macro Capital,Health Care & Pharmaceuticals,EGX
MEPA,Medical Packaging Company,Health Care & Pharmaceuticals,EGX
MPCI,Memphis Pharmaceuticals,Health Care & Pharmaceuticals,EGX
MIPH,Minapharm Pharmaceuticals,Health Care & Pharmaceuticals,EGX
NINH,Nozha International Hospital,Health Care & Pharmaceuticals,EGX
OCPH,October Pharma,Health Care & Pharmaceuticals,EGX
SIPC,Sabaa International Company for Pharmaceutical and Chemical,Health Care & Pharmaceuticals,EGX
SPMD,Speed Medical,Health Care & Pharmaceuticals,EGX
RMDA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,Health Care & Pharmaceuticals,EGX
ACGC,Arab Cotton Ginning,Textile & Durables,EGX
APSW,Arab Polvara,Textile & Durables,EGX
DSCW,Dice,Textile & Durables,EGX
GTWL,Goldentex,Textile & Durables,EGX
KABO,Kabo,Textile & Durables,EGX
ORWE,Oriental Weavers,Textile & Durables,EGX
SPIN,SPINALEX,Textile & Durables,EGX
CFGH,Concrete Fashion Group,Textile & Durables,EGX
DGTZ,Digitize for Investment And Technology,"IT , Media & Communication Services",EGX
MPRC,Egyptian Media Production City,"IT , Media & Communication Services",EGX
EGSA,Egyptian Satellites (NileSat),"IT , Media & Communication Services",EGX
AMPI,Al Moasher,"IT , Media & Communication Services",EGX
RACC,Raya Customer Experience,"IT , Media & Communication Services",EGX
ETEL,Telecom Egypt,"IT , Media & Communication Services",EGX
VERT,Vertika,"IT , Media & Communication Services",EGX
CAED,Cairo Educational Services,Education Services,EGX
CIRA,Cairo For Investment And Real Estate Developments-CIRA Edu,Education Services,EGX
SCTS,Sues Canal Company For Technology Settling,Education Services,EGX
TALM,Taaleem Management Services,Education Services,EGX
MOED,The Egyptian Modern Education Systems,Education Services,EGX
